Index,Subindex,Objectname,Datatype,Access,Defaultvalue,Variable,LowLimit,HighLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size
0x1000,0x00,Device Type,UNSIGNED32,ro,0,NONE,0,4294967295,no,no,no,no,0,ManagedConst,0
0x1001,0x00,Error Register,UNSIGNED8,ro,0,NONE,0,255,yes,no,no,no,0,ManagedVariable,0
0x1008,0x00,Manufacturer Device Name,VISIBLE_STRING,const,Test Slave 3 with block transfer,NONE,0,0,yes,no,no,no,1,ManagedConst,32
0x1017,0x00,Producer Heartbeat Time,UNSIGNED16,rw,1000,NONE,0,65535,no,no,no,no,0,ManagedVariable,0
0x1018,0x00,Identity Object Number of entries,UNSIGNED8,ro,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1018,0x01,Identity Object Vendor Id,UNSIGNED32,ro,793,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0
0x1018,0x02,Identity Object Product Code,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0
0x1018,0x03,Identity Object Revision number,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0
0x1018,0x04,Identity Object Serial number,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1200,0x00,Server SDO Parameter Number of entries,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1200,0x01,Server SDO Parameter COB ID Client to Server,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1200,0x02,Server SDO Parameter COB ID Server to Client,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1400,0x00,Receive PDO Communication Parameter Number of entries,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1400,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1400,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0
0x1600,0x00,Receive PDO Mapping Parameter Number of entries,UNSIGNED8,ro,1,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1600,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,ro,536936464,NONE,0,0,yes,no,no,no,1,ManagedVariable,0
0x1800,0x00,Transmit PDO Communication Parameter Number of entries,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1800,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1800,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0
0x1800,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0
0x1800,0x04,Transmit PDO Communication Parameter Compatibility Entry,UNSIGNED8,rw,0,NONE,0,255,no,no,no,no,0,ManagedVariable,0
0x1800,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0
0x1a00,0x00,Transmit PDO Mapping Parameter Number of entries,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,1,ManagedVariable,0
0x1a00,0x01,Transmit PDO Mapping Parameter PDO Mapping Entry,UNSIGNED32,rw,536936464,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0
 
0x2001,0x00,Manufacturer Object,UNSIGNED16,rw,4,NONE,0,0,no,no,no,no,0,ManagedVariable,0
0x3000,0x00,Constant string,VISIBLE_STRING,ro,Test_String,NONE,0,0,yes,no,no,no,0,ManagedConst,0
0x3001,0x00,variable string,VISIBLE_STRING,rw,,myString,0,0,yes,no,no,no,0,Variable,100
0x3002,0x00,domain,DOMAIN,rw,0,myDomain,0,0,no,no,no,no,0,Variable,0
