Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x1000,0x00,Device Type,UNSIGNED32,ro,983441,devType,0,4294967295,yes,no,no,no,0,Variable,0,,mapping
0x1001,0x00,Error Register,UNSIGNED8,ro,0,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1005,0x00,COB ID SYNC,UNSIGNED32,rw,128,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1008,0x00,Manufacturer Device Name,VISIBLE_STRING,const,Generic IO module according CiA 401,deviceName,0,0,yes,no,no,no,1,Variable,32,,mapping
0x1014,0x00,COB ID EMCY,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1015,0x00,Inhibit Time Emergency,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1016,0x00,Consumer heartbeat time Highest sub-index supported,UNSIGNED8,const,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,ARRAY,mapping
0x1016,0x01,Consumer heartbeat time Consumer heartbeat time,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1016,0x02,Consumer heartbeat time Consumer heartbeat time,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1017,0x00,Producer Heartbeat Time,UNSIGNED16,rw,1000,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1018,0x00,Identity Object Number of entries,UNSIGNED8,ro,4,NONE,1,4,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1018,0x01,Identity Object Vendor Id,UNSIGNED32,ro,793,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x02,Identity Object Product Code,UNSIGNED32,ro,2069,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x03,Identity Object Revision number,UNSIGNED32,ro,65537,NONE,0,4294967295,yes,no,no,no,1,ManagedConst,0,,mapping
0x1018,0x04,Identity Object Serial number,UNSIGNED32,ro,1,serialNumber,0,4294967295,no,no,no,no,0,Variable,0,,mapping
0x1200,0x00,Server SDO Parameter Number of entries,UNSIGNED8,ro,2,NONE,2,2,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1200,0x01,Server SDO Parameter COB ID Client to Server,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1200,0x02,Server SDO Parameter COB ID Server to Client,UNSIGNED32,ro,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,2,5,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1400,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rww,0,NONE,1,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1400,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rww,1,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1600,0x00,RPDO mapping parameter Number of mapped objects,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1600,0x01,RPDO mapping parameter mapped object 1,UNSIGNED32,rw,1644167432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1600,0x02,RPDO mapping parameter mapped object 2,UNSIGNED32,rw,1644167688,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1800,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rww,0,NONE,1,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rww,1,NONE,0,255,no,no,no,no,1,ManagedVariable,0,,mapping
